day,start_node,end_node,percentile,mild_infected,total
1,1002,14511,75,0,13
1,1002,14521,25,0,50
1,1002,14521,50,0,50
1,1002,14521,75,0,50
1,1002,14522,25,0,13
1,1002,14522,50,0,13
1,1002,14522,75,0,13
1,1002,14523,25,0,12
1,1002,14523,50,0,12
1,1002,14523,75,0,12
1,1002,14524,25,0,12
1,1002,14524,50,0,12
1,1002,14524,75,0,12
1,1002,14612,25,0,16
1,1002,14612,50,0,16
1,1002,14612,75,0,16
1,1002,14628,25,0,13
1,1002,14628,50,0,13
1,1002,14628,75,0,13
1,1002,14713,25,0,81
1,1002,14713,50,0,81
1,1002,14713,75,0,81
1,1002,15002,25,0,14
1,1002,15002,50,0,14
1,1002,15002,75,0,14
1,1002,15003,25,0,17
1,1002,15003,50,0,17
1,1002,15003,75,0,17
1,1002,15085,25,0,13
1,1002,15085,50,0,13
1,1002,15085,75,0,13
1,1002,15091,25,0,13
1,1002,15091,50,0,13
1,1002,15091,75,0,13
1,1002,16051,25,0,25
1,1002,16051,50,0,25
1,1002,16051,75,0,25
1,1002,16053,25,0,25
1,1002,16053,50,0,25
1,1002,16053,75,0,25
1,1002,16061,25,0,12
1,1002,16061,50,0,12
1,1002,16061,75,0,12
1,1003,1001,25,0,59
1,1003,1001,50,0,59
1,1003,1001,75,0,59
1,1003,1002,25,0,1640
1,1003,1002,50,0,1640
1,1003,1002,75,0,1640
1,1003,1004,25,0,226
1,1003,1004,50,0,226
1,1003,1004,75,0,226
1,1003,1051,25,0,21
1,1003,1051,50,0,21
1,1003,1051,75,0,21
1,1003,1053,25,0,1650
1,1003,1053,50,0,1650
1,1003,1053,75,0,1650
1,1003,1054,25,0,101
1,1003,1054,50,0,101
1,1003,1054,75,0,101
1,1003,1055,25,0,8177
1,1003,1055,50,0,8177
1,1003,1055,75,0,8177
1,1003,1056,25,0,116
1,1003,1056,50,0,116
1,1003,1056,75,0,116
1,1003,1057,25,0,312
1,1003,1057,50,0,312
1,1003,1057,75,0,312
1,1003,1058,25,0,362
1,1003,1058,50,0,362
1,1003,1058,75,0,362
1,1003,1059,25,0,21
1,1003,1059,50,0,21
1,1003,1059,75,0,21
1,1003,1060,25,0,1118
1,1003,1060,50,0,1118
1,1003,1060,75,0,1118
1,1003,1061,25,0,120
1,1003,1061,50,0,120
1,1003,1061,75,0,120
1,1003,1062,25,0,3276
1,1003,1062,50,0,3276
1,1003,1062,75,0,3276
1,1003,2000,25,0,7796
1,1003,2000,50,0,7796
1,1003,2000,75,1,7796
1,1003,3101,25,0,20
1,1003,3101,50,0,20
1,1003,3101,75,0,20
1,1003,3102,25,0,14
1,1003,3102,50,0,14
1,1003,3102,75,0,14
1,1003,3154,25,0,13
1,1003,3154,50,0,13
1,1003,3154,75,0,13
1,1003,3241,25,0,289
1,1003,3241,50,0,289
1,1003,3241,75,0,289
1,1003,3251,25,0,20
1,1003,3251,50,0,20
1,1003,3251,75,0,20
1,1003,3254,25,0,27
1,1003,3254,50,0,27
1,1003,3254,75,0,27
1,1003,3257,25,0,13
1,1003,3257,50,0,13
1,1003,3257,75,0,13
1,1003,3351,25,0,13
1,1003,3351,50,0,13
1,1003,3351,75,0,13
1,1003,3352,25,0,19
1,1003,3352,50,0,19
1,1003,3352,75,0,19
1,1003,3353,25,0,164
1,1003,3353,50,0,164
1,1003,3353,75,0,164
1,1003,3355,25,0,160
1,1003,3355,50,0,160
1,1003,3355,75,0,160
1,1003,3356,25,0,15
1,1003,3356,50,0,15
1,1003,3356,75,0,15
1,1003,3357,25,0,56
1,1003,3357,50,0,56
1,1003,3357,75,0,56
1,1003,3358,25,0,56
1,1003,3358,50,0,56
1,1003,3358,75,0,56
1,1003,3359,25,0,71
1,1003,3359,50,0,71
1,1003,3359,75,0,71
1,1003,3360,25,0,5
1,1003,3360,50,0,5
1,1003,3360,75,0,5
1,1003,3401,25,0,15
1,1003,3401,50,0,15
1,1003,3401,75,0,15
1,1003,3403,25,0,33
1,1003,3403,50,0,33
1,1003,3403,75,0,33
1,1003,3404,25,0,16
1,1003,3404,50,0,16
1,1003,3404,75,0,16
1,1003,3405,25,0,21
1,1003,3405,50,0,21
1,1003,3405,75,0,21
1,1003,3451,25,0,17
1,1003,3451,50,0,17
1,1003,3451,75,0,17
1,1003,3454,25,0,15
1,1003,3454,50,0,15
1,1003,3454,75,0,15
1,1003,3456,25,0,13
